,Store Name,Description,Department,Qty Sold,Cost,Retail,Total Retail,Margin,Profit
14,CEDAR   LLC,RED BULL ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,800,2.19,3.99,3192.0,45.23,1443.68
15,Zuni   LLC,BIC LIGHTER LARGE,COUNTER DISPLAY,779,0.75,2.59,2017.61,70.87,1429.85
16,BOULDER   LLC,SUGAR BEVERAGE FEE 15.5 OZ,SUGAR FEE  (OPERATIONAL ONLY),778,0.31,0.31,241.18,0.48,1.17
17,WHEAT   LLC,FEEL FREE PLANT BASED HERBAL KRATOM SUPPLEMENT,BEVERAGE : SPECIALITY,758,4.4,9.99,6182.27,55.96,4237.22
18,CEDAR   LLC,FULL PIZZA,HOT FOOD,753,7.8,12.99,9807.45,39.95,3908.07
19,Zuni   LLC,ZYN COOL MINT 6MG,POUCH,742,6.65,8.99,6670.58,26.03,1736.28
20,Zuni   LLC,GLACEAU SMARTWATER 1 LTR,BEVERAGE : STANDARD,734,1.83,3.49,2561.66,47.61,1219.69
21,Zuni   LLC,ELDORADO 1 LTR,BEVERAGE : STANDARD,715,0.77,2.39,1708.85,67.75,1157.73
22,CHEYENNE   LLC,FOUNTAIN LARGE,FOUNTAIN,699,1.2,1.99,1391.61,39.7,552.21
23,CHEYENNE   LLC,COFFEE REFILL $1.09,COFFEE & TEA,698,0.65,1.09,760.82,40.37,307.12
24,CEDAR   LLC,ICE BAG SMALL 7 LB,EXTERIOR :  ICE,688,1.75,3.09,2125.92,43.37,921.92
25,Zuni   LLC,SMOKE SHOP $3.99,SMOKE SHOP,668,0.31,3.99,2665.32,92.23,2458.24
26,BOULDER   LLC,SUGAR BEVERAGE FEE 8.4 OZ,SUGAR FEE  (OPERATIONAL ONLY),664,0.17,0.17,112.37,0.49,0.6
27,Zuni   LLC,ZYN SPEARMINT 6MG,POUCH,653,6.65,8.99,5888.45,26.03,1528.02
28,Golden LLC,MARLBORO BOX,CIGARETTES,648,9.92,11.39,7388.03,12.94,955.15
29,Golden LLC,MONSTER ENERGY DRINK 16 OZ,BEVERAGE : STANDARD,647,1.74,3.59,2322.73,51.53,1196.95
30,CHEYENNE   LLC,FEEL FREE PLANT BASED HERBAL KRATOM SUPPLEMENT 2 OZ,BEVERAGE : SPECIALITY,644,4.95,9.99,6433.56,50.45,3245.76
31,Golden LLC,PIZZA SLICE,HOT FOOD,618,2.4,3.99,2465.82,39.85,982.62
32,Zuni   LLC,LITTLE MANS PINT,ICE CREAM,613,5.5,8.29,5081.77,33.66,1710.27
33,Zuni   LLC,ZYN WINTERGREEN 6MG,POUCH,604,6.65,8.99,5429.96,26.03,1413.36
34,Zuni   LLC,GLACEAU SMART WATER 700 ML,BEVERAGE : STANDARD,573,1.45,2.99,1711.79,51.55,883.16
35,CEDAR   LLC,MARLBORO BOX,CIGARETTES,570,9.92,11.39,6454.56,12.94,840.18
36,Zuni   LLC,ZYN PEPPERMINT 6MG,POUCH,563,6.65,8.99,5061.37,26.03,1317.42
37,CEDAR   LLC,COFFEE REFILL $1.09,COFFEE & TEA,557,0.65,1.09,607.13,40.37,245.08
38,Golden LLC,COFFEE MEDIUM,COFFEE & TEA,551,1.32,2.19,1206.69,39.73,479.37
39,Golden LLC,ICE BAG SMALL 7 LB,EXTERIOR : ICE,536,1.5,3.09,1656.24,51.46,852.24
40,Golden LLC,ZYN PEPPERMINT 6MG,POUCH,535,6.65,8.99,4827.63,26.03,1251.9
41,Zuni   LLC,SMOKE SHOP $1.99,SMOKE SHOP,508,0.29,1.99,1010.92,85.39,863.19
42,CHEYENNE   LLC,MARLBORO BOX,CIGARETTES,506,8.33,9.28,4701.27,10.23,480.19
43,HAWK   LLC,MARLBORO GOLD PACK BOX,CIGARETTES,499,9.92,11.39,5649.61,12.94,735.53
44,COLFAX   LLC,"$1 monopoly $10,000!",LOTTERY,497,0.0,1.0,497.0,100.0,497.0
45,BOULDER   LLC,RED BULL ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,478,2.05,3.99,1907.22,48.62,927.32
46,HAWK   LLC,COFFEE REFILL $1.09,COFFEE & TEA,476,0.65,1.09,531.14,40.37,209.44
47,CHEYENNE   LLC,FOUNTAIN MEDIUM,FOUNTAIN,472,1.08,1.79,848.46,39.66,335.12
48,BOULDER   LLC,BREAKFAST BURRITO,HOT FOOD,469,3.0,5.99,2809.31,49.92,1402.31
49,Zuni   LLC,RED BULL ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,466,2.06,3.99,1859.34,48.36,899.19
50,Zuni   LLC,MARLBORO GOLD PACK BOX,CIGARETTES,461,9.92,11.39,5221.55,12.94,679.51
51,CHEYENNE   LLC,D8FLIGHT PRE ROLLS 1 G BIG CASE WHITE WIDOW  HYBRID,SMOKE SHOP,458,2.1,7.99,3676.42,73.72,2697.62
52,Golden LLC,ZYN WINTERGREEN 6MG,POUCH,456,6.65,8.99,4099.44,26.03,1067.04
53,CEDAR   LLC,DR PEPPER 20 OZ,BEVERAGE : STANDARD,454,1.61,2.99,1357.46,46.14,626.34
54,CEDAR   LLC,MARLBORO GOLD PACK BOX,CIGARETTES,453,9.92,11.39,5128.73,12.94,667.72
55,CHEYENNE   LLC,RED BULL ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,453,2.0,3.99,1807.47,49.93,902.42
56,Golden LLC,RED BULL SUMMER EDITION ENERGY 12 OZ,BEVERAGE : STANDARD,452,2.05,3.99,1801.5,48.62,876.88
57,HAWK   LLC,FILLED DONUTS WHOLESALE,BAKERY,437,1.67,3.99,1743.63,58.23,1015.33
58,CHEYENNE   LLC,MDEW 20 OZ,BEVERAGE : STANDARD,434,1.58,2.99,1303.64,47.05,610.51
59,Golden LLC,MONSTER ENERGY ZERO ULTRA SUGAR FREE 16 OZ,BEVERAGE : STANDARD,431,1.74,3.59,1547.29,51.53,797.35
60,Golden LLC,GLACEAU SMARTWATER 33.8 OZ,BEVERAGE : STANDARD,428,1.83,3.49,1493.72,47.61,711.21
61,CEDAR   LLC,COCA COLA CLASSIC 20 OZ,BEVERAGE : STANDARD,427,1.58,2.99,1276.73,47.05,600.66
62,CHEYENNE   LLC,BREAKFAST,HOT FOOD,421,2.4,3.99,1677.3,39.85,669.39
63,Zuni   LLC,DR PEPPER 20 OZ,BEVERAGE : STANDARD,419,1.61,2.99,1252.81,46.14,578.05
64,Zuni   LLC,ZYN WINTERGREEN 3MG,POUCH,416,6.65,8.99,3739.84,26.03,973.44
65,CHEYENNE   LLC,MONSTER ENERGY DRINK 16 OZ,BEVERAGE : STANDARD,414,1.68,3.59,1486.26,53.2,790.74
66,Zuni   LLC,COCA COLA CLASSIC 20 OZ,BEVERAGE : STANDARD,414,1.58,2.99,1249.82,47.05,582.37
67,Golden LLC,ZYN SPEARMINT 6MG,POUCH,406,6.65,8.99,3649.94,26.03,950.04
68,CEDAR   LLC,MDEW 20 OZ,BEVERAGE : STANDARD,404,1.61,2.99,1207.96,46.14,557.36
69,CEDAR   LLC,LUCKY STRIKE RED 100 FILT,CIGARETTES,404,8.3,7.79,3131.54,-6.53,-205.64
70,Zuni   LLC,ZYN SPEARMINT 3MG,POUCH,399,6.65,8.99,3587.01,26.03,933.66
71,Zuni   LLC,MARLBORO BOX,CIGARETTES,386,9.92,11.39,4394.67,12.94,568.96
72,Zuni   LLC,ZYN CITRUS 6MG,POUCH,385,6.65,8.99,3461.15,26.03,900.9
73,Golden LLC,MARLBORO GOLD PACK 100 BO,CIGARETTES,384,9.92,11.39,4370.87,12.94,566.02
74,HAWK   LLC,AMERICAN SPIRIT 85 BOX BL,CIGARETTES,380,10.85,12.61,4762.61,13.96,668.8
75,HAWK   LLC,AMERICAN SPIRIT ORG 85 BX,CIGARETTES,373,11.33,13.18,4887.58,14.04,690.05
76,Zuni   LLC,MONSTER ENERGY ZERO ULTRA SUGAR FREE 16 OZ,BEVERAGE : STANDARD,373,1.74,3.59,1339.07,51.53,690.05
77,Golden LLC,RED BULL ENERGY DRINK 8.4 OZ,BEVERAGE : STANDARD,372,1.52,3.29,1242.04,53.77,658.14
78,CHEYENNE   LLC,WY TRIBUNE 2.00,EXTERIOR : PUBLICATION,368,1.1,2.0,740.0,45.0,331.2
79,CHEYENNE   LLC,MARLBORO GOLD PACK BOX,CIGARETTES,357,8.33,9.28,3335.64,10.23,338.79
80,LITTLETON   LLC,MARLBORO GOLD PACK BOX,CIGARETTES,355,9.92,11.39,4021.18,12.94,523.27
81,BOULDER   LLC,AMERICAN SPIRIT 85 BOX YE,CIGARETTES,354,10.85,12.61,4437.27,13.96,623.04
82,BOULDER   LLC,ICE BAG SMALL 7 LB,EXTERIOR : ICE,354,1.56,3.49,1235.46,55.3,683.22
83,HAWK   LLC,ELDORADO WATER 1 GAL,BEVERAGE : STANDARD,349,1.34,3.59,1252.91,62.67,785.25
84,Golden LLC,COCA COLA CLASSIC 20 OZ,BEVERAGE : STANDARD,344,1.58,2.99,1028.56,47.05,483.9
85,Zuni   LLC,MONSTER ENERGY DRINK 16 OZ,BEVERAGE : STANDARD,339,1.74,3.59,1217.01,51.53,627.15
86,HAWK   LLC,RED BULL 12 OZ,BEVERAGE : STANDARD,338,2.06,4.09,1382.42,49.62,686.0
87,Zuni   LLC,AQUAFINA WATER 20 OZ,BEVERAGE : STANDARD,338,1.15,2.29,774.02,49.78,385.32
88,BOULDER   LLC,FEEL FREE PLANT BASED HERBAL KRATOM SUPPLEMENT,BEVERAGE : SPECIALITY,337,4.95,9.99,3366.63,50.45,1698.48
89,HAWK   LLC,COFFEE LARGE,COFFEE & TEA,334,1.0,2.49,831.66,59.84,497.66
90,CEDAR   LLC,RED BULL ENERGY DRINK 8.4 OZ,BEVERAGE : STANDARD,330,1.66,3.29,1085.7,49.66,539.15
91,Golden LLC,SWISHER SWEET  CIGARILLOS SWEET 2 PK,CIGAR & PAPER,330,1.5,1.99,656.7,24.64,161.83
92,Golden LLC,BIC LIGHTER 50 CT,COUNTER DISPLAY,330,0.91,2.59,854.7,65.0,555.56
93,BOULDER   LLC,ZYN SPEARMINT 6MG,POUCH,328,6.65,8.99,2948.72,26.03,767.52
94,HAWK   LLC,MARLBORO BOX,CIGARETTES,326,9.92,11.39,3692.91,12.94,480.52
95,Zuni   LLC,S045-S048 JUUL PODS MENTHOL 5% 4PK,VAPE : PRIMARY,326,17.38,29.19,9515.94,40.48,3851.69
96,BOULDER   LLC,SUGAR BEVERAGE FEE 1 LTR,SUGAR FEE  (OPERATIONAL ONLY),326,0.68,0.68,221.68,0.59,1.3
97,Golden LLC,ZYN CITRUS 6MG,POUCH,324,6.65,8.99,2930.74,26.03,758.16
98,HAWK   LLC,MONSTER ENERGY ZERO ULTRA SUGAR FREE 16 OZ,BEVERAGE : STANDARD,323,1.74,3.69,1191.87,52.85,629.85
99,CHEYENNE   LLC,REFILL ICE CUP,FOUNTAIN,323,0.59,0.99,318.79,40.4,129.2
100,Golden LLC,AQUAFINA WATER 20 OZ,BEVERAGE : STANDARD,322,1.15,2.29,737.38,49.78,367.08
101,CHEYENNE   LLC,SONOMA RED 100 BOX,CIGARETTES,321,5.35,6.09,1979.25,12.12,236.9
102,Golden LLC,CAMEL BLUE BOX,CIGARETTES,321,10.27,10.41,3378.46,1.34,44.62
103,Zuni   LLC,LUCKY STRIKE RED 100 FILT,CIGARETTES,313,8.3,7.79,2423.64,-6.53,-159.32
104,Zuni   LLC,ZYN COOL MINT 3MG,POUCH,311,6.65,8.99,2795.89,26.03,727.74
105,CEDAR   LLC,SPRITE 20 OZ,BEVERAGE : STANDARD,309,1.58,2.99,923.91,47.05,434.67
106,Zuni   LLC,ESSENTIA WATER  1 LTR,BEVERAGE : STANDARD,309,1.51,3.09,954.81,51.13,488.22
107,Zuni   LLC,Chore Boy Copper Scrubber,HOME GOODS,306,0.64,1.99,608.94,67.91,413.53
108,Golden LLC,COFFEE LARGE,COFFEE & TEA,306,1.5,2.49,761.94,39.76,302.94
109,Golden LLC,RED BULL SEA BLUE EDITION 12 OZ,BEVERAGE : STANDARD,305,2.05,3.99,1216.95,48.62,591.7
110,HAWK   LLC,FEEL FREE PLANT BASED HERBAL KRATOM SUPPLEMENT,BEVERAGE : SPECIALITY,302,4.95,9.99,3016.98,50.45,1522.08
111,COLFAX   LLC,"$10,000 SUPER BONUS",LOTTERY,302,1.0,1.0,302.0,0.0,0.0
112,Zuni   LLC,STEEL RESERVE 24 OZ,BEER,301,1.25,2.09,629.09,40.19,252.84
113,LITTLETON   LLC,RED BULL ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,300,2.07,3.99,1197.0,48.1,575.76
114,Zuni   LLC,BUD ICE 1 PK 25 OZ,BEER,300,1.2,2.19,657.0,45.05,296.01
115,Zuni   LLC,RED BULL ENERGY DRINK 8.4 OZ,BEVERAGE : STANDARD,297,1.53,3.29,977.13,53.46,522.36
116,CHEYENNE   LLC,COFFEE LARGE,COFFEE & TEA,296,1.5,2.49,742.02,39.76,293.04
117,COLFAX   LLC,B&M JAZZ PT 25CT,CIGAR & PAPER,295,1.54,1.99,546.25,22.55,132.4
118,Golden LLC,AQUAFINA WATER 1 LTR,BEVERAGE : STANDARD,295,1.42,2.99,888.07,52.62,464.15
119,Golden LLC,ZYN CITRUS 3MG,POUCH,295,6.65,8.99,2652.05,26.03,690.3
120,Golden LLC,$ 5 decade,LOTTERY,294,0.08,5.0,1490.0,98.33,1445.51
121,Zuni   LLC,PARLIAMENT WHITE PACK BOX,CIGARETTES,293,11.36,13.09,3835.37,13.19,506.01
122,BOULDER   LLC,MONSTER ENERGY DRINK 16  OZ,BEVERAGE : STANDARD,291,1.74,3.59,1044.69,51.53,538.35
123,BOULDER   LLC,GUAYAKI YERBA MATE MINT 15.5 OZ,BEVERAGE : SPECIALITY,291,1.92,4.39,1277.49,56.34,719.76
124,Golden LLC,WILD CHERRY CROSSWORD,LOTTERY,289,10.0,10.0,2890.0,0.0,0.0
125,Golden LLC,FEEL FREE PLANT BASED HERBAL KRATOM SUPPLEMENT,BEVERAGE : SPECIALITY,289,4.95,9.99,2887.11,50.45,1456.56
126,HAWK   LLC,COCA COLA CLASSIC STOCK AND GRIP 20 OZ,BEVERAGE : STANDARD,288,1.58,3.09,904.73,48.76,433.93
127,Golden LLC,GLACEAU SMART WATER 23.7 OZ,BEVERAGE : STANDARD,288,1.45,2.99,861.12,51.55,443.89
128,WHEAT   LLC,Ice Bag Small,EXTERIOR : ICE,287,3.49,3.49,1001.63,0.0,0.0
129,HAWK   LLC,CAMEL BLUE BOX,CIGARETTES,287,10.27,10.41,2957.29,1.34,39.89
130,BOULDER   LLC,"$500,000 crossword",LOTTERY,284,0.0,20.0,5680.0,100.0,5680.0
131,Zuni   LLC,AQUAFINA WATER 1 LTR,BEVERAGE : STANDARD,281,1.42,2.89,812.09,50.98,414.03
132,HAWK   LLC,FIREWOOD PINE BUNDLE 1 CT,EXTERIOR,279,3.5,8.49,2360.13,58.78,1392.21
133,HAWK   LLC,MDEW 20 OZ,BEVERAGE : STANDARD,278,1.61,3.09,859.02,47.88,411.33
134,Golden LLC,RED BULL REGULAR S/F 12 OZ,BEVERAGE : STANDARD,278,2.05,3.99,1109.22,48.62,539.32
135,CHEYENNE   LLC,COCA COLA CLASSIC STOCK AND GRIP 20 OZ,BEVERAGE : STANDARD,277,1.44,2.99,828.23,52.01,430.74
136,CEDAR   LLC,"$2 monopoly $20,000!",LOTTERY,275,2.0,2.0,550.0,0.0,0.0
137,CEDAR   LLC,FOUNTAIN REFILL,FOUNTAIN,275,0.72,1.19,327.25,39.5,129.25
138,LITTLETON   LLC,ICE BAG SMALL 7 LB,EXTERIOR : ICE,274,1.96,3.29,901.46,40.43,364.42
139,CEDAR   LLC,MARLBORO 72 BOX,CIGARETTES,272,9.92,10.89,2939.42,8.94,264.93
140,HAWK   LLC,MONSTER ENERGY DRINK 16 OZ,BEVERAGE : STANDARD,272,1.74,3.69,1003.68,52.85,530.4
141,CHEYENNE   LLC,GLACEAU SMARTWATER 1 LTR,BEVERAGE : STANDARD,270,1.68,3.49,942.3,51.86,488.7
142,Zuni   LLC,ZYN COFFEE 6MG,POUCH,267,6.65,8.99,2400.33,26.03,624.78
143,BOULDER   LLC,COCA COLA CLASSIC 20 OZ,BEVERAGE : STANDARD,267,1.58,2.99,796.85,47.05,375.59
144,BOULDER   LLC,RED BULL ENERGY DRINK 8.4 OZ,BEVERAGE : STANDARD,265,1.52,3.29,871.85,53.77,468.84
145,COLFAX   LLC,$50 FRENZY,LOTTERY,263,0.0,1.0,263.0,100.0,263.0
146,BOULDER   LLC,MODELO ESPECIAL 24 OZ,BEER,263,2.65,3.99,1049.37,33.48,351.34
147,CEDAR   LLC,MONSTER ENERGY DRINK 16 OZ,BEVERAGE : STANDARD,262,1.74,3.59,940.58,51.53,484.7
148,Golden LLC,"$5 monopoly $100,000!",LOTTERY,260,5.0,5.0,1300.0,0.0,0.0
149,HAWK   LLC,COFFEE SMALL,COFFEE & TEA,259,1.0,1.89,489.51,47.09,230.51
150,CHEYENNE   LLC,DR PEPPER 20 OZ,BEVERAGE : STANDARD,258,1.44,2.99,769.94,52.01,401.19
151,Zuni   LLC,MODELO ESPECIAL 24 OZ,BEER,258,2.65,3.99,1029.42,33.48,344.66
152,Golden LLC,ZYN COOL MINT 6MG,POUCH,258,6.65,8.99,2319.42,26.03,603.72
153,CEDAR   LLC,$ 1 decade,LOTTERY,257,0.0,1.0,257.0,99.67,256.15
154,WHEAT   LLC,AMERICAN SPIRIT 85 BOX BL,CIGARETTES,257,10.85,12.61,3222.29,13.96,452.32
155,Golden LLC,COCA COLA DIET ZERO 20 OZ,BEVERAGE : STANDARD,257,1.58,2.99,768.43,47.05,361.52
156,CEDAR   LLC,MONSTER ENERGY ZERO ULTRA SUGAR FREE 16 OZ,BEVERAGE : STANDARD,255,1.74,3.59,915.45,51.53,471.75
157,BOULDER   LLC,"$1 monopoly $10,000!",LOTTERY,255,0.0,1.0,255.0,100.0,255.0
158,BOULDER   LLC,MARLBORO GOLD PACK BOX,CIGARETTES,254,9.92,11.39,2878.44,12.94,374.4
159,LITTLETON   LLC,MARLBORO BOX,CIGARETTES,253,9.92,11.39,2869.09,12.94,372.92
160,Zuni   LLC,ZYN SMOOTH 6MG,POUCH,253,6.65,8.99,2310.43,26.03,592.02
161,WHEAT   LLC,MARLBORO GOLD PACK BOX,CIGARETTES,251,9.92,11.39,2802.08,12.94,369.97
162,BOULDER   LLC,AMERICAN SPIRIT ORG 85 BX,CIGARETTES,250,11.33,13.18,3535.08,14.04,462.5
163,HAWK   LLC,MARLBORO 100 BOX,CIGARETTES,249,9.92,11.39,2821.49,12.94,367.03
164,CEDAR   LLC,RED BULL 16 OZ,BEVERAGE : STANDARD,248,2.93,4.99,1237.52,41.37,511.92
165,Golden LLC,ELDRADO WATER 1.5 LTR,BEVERAGE : STANDARD,248,0.88,3.29,815.92,73.4,598.92
166,CEDAR   LLC,GLACEAU SMARTWATER 1 LTR,BEVERAGE : STANDARD,246,1.83,3.49,858.54,47.61,408.78
167,Zuni   LLC,ZYN PEPPERMINT 3MG,POUCH,245,6.65,8.99,2202.55,26.03,573.3
168,HAWK   LLC,DR PEPPER 20 OZ,BEVERAGE : STANDARD,244,1.61,3.09,753.96,47.88,361.02
169,CHEYENNE   LLC,SMOKE SHOP $3.99,SMOKE SHOP,243,0.5,3.99,995.51,87.4,847.41
170,Zuni   LLC,AMERICAN SPIRIT 85 BOX BL,CIGARETTES,243,10.85,12.61,3064.46,13.96,427.68
171,Zuni   LLC,ICE BAG SMALL 7 LB,EXTERIOR : ICE,243,1.5,3.09,750.87,51.46,386.37
172,Zuni   LLC,REDBULL SUMMER EDITION ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,242,2.06,3.99,965.58,48.36,466.96
173,Golden LLC,BINGO TRIPLER,LOTTERY,242,5.0,5.0,1210.0,0.0,0.0
174,CEDAR   LLC,MARLBORO 100 BOX,CIGARETTES,241,9.92,11.39,2731.39,12.94,355.23
175,HAWK   LLC,AMERICAN SPIRIT 85 BOX YE,CIGARETTES,241,10.85,12.61,3018.22,13.96,424.16
176,Zuni   LLC,SPRITE 20 OZ,BEVERAGE : STANDARD,241,1.58,2.99,720.59,47.05,339.01
177,Golden LLC,CAMEL CRUSH MENTHOL BOX,CIGARETTES,239,10.27,10.81,2558.19,4.99,128.82
178,CHEYENNE   LLC,BURGER,HOT FOOD,238,3.6,5.99,1419.63,39.9,568.82
179,Zuni   LLC,COFFEE MEDIUM,COFFEE & TEA,237,1.32,2.19,519.03,39.73,206.19
180,Zuni   LLC,CELSIUS SPARKLING ORANGE ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,237,1.52,2.99,708.63,49.14,348.2
181,Golden LLC,RED BULL COCONUT BERRY 12 OZ,BEVERAGE : STANDARD,237,2.05,3.99,945.63,48.62,459.78
182,HAWK   LLC,SWISHER SO2 CLASSIC 30 / 2 CT,CIGAR & PAPER,235,1.42,1.99,467.65,28.81,134.75
183,CHEYENNE   LLC,MONSTER ENERGY ZERO ULTRA SUGAR FREE 16 OZ,BEVERAGE : STANDARD,234,1.68,3.59,840.06,53.2,446.94
184,HAWK   LLC,COPENHAGEN LONG CUT NATUR,CHEW,233,8.46,9.79,2281.07,13.54,308.96
185,HAWK   LLC,COLD SANDWISH,KITCHEN,231,9.0,9.0,2079.0,0.0,0.0
186,Zuni   LLC,CON NBRW YUZU MIXED PACK - CITRUS 12 PK 12 OZ,BEVERAGE : SPECIALITY,231,4.0,6.69,1545.39,40.22,621.6
187,BOULDER   LLC,MONSTER ENERGY ZERO ULTRA SUGAR FREE 16 OZ,BEVERAGE : STANDARD,230,1.74,3.59,823.2,51.53,425.5
188,CHEYENNE   LLC,MDEW 1 LTR,BEVERAGE : STANDARD,229,1.96,3.59,822.11,45.45,373.66
189,HAWK   LLC,COFFEE MEDIUM,COFFEE & TEA,226,1.32,2.19,494.94,39.73,196.62
190,Zuni   LLC,BIC LIGHTER MINI 50+3 PK,COUNTER DISPLAY,226,0.79,2.19,494.94,63.82,315.9
191,Zuni   LLC,COFFEE SMALL,COFFEE & TEA,226,1.13,1.89,427.14,40.21,171.76
192,Zuni   LLC,RED BULL SUGARFREE 12 OZ,BEVERAGE : STANDARD,226,2.06,3.99,901.74,48.36,436.09
193,Golden LLC,FOUNTAIN LARGE,FOUNTAIN,226,1.2,1.99,449.74,39.7,178.54
194,CHEYENNE   LLC,COFFEE MEDIUM,COFFEE & TEA,223,1.32,2.19,488.37,39.73,194.01
195,CHEYENNE   LLC,GLACEAU SMART WATER 23.7 OZ,BEVERAGE : STANDARD,223,1.36,2.99,666.77,54.52,363.49
196,BOULDER   LLC,ZYN PEPPERMINT 6MG,POUCH,222,6.65,8.99,1995.78,26.03,519.48
197,Golden LLC,MDEW 20 OZ,BEVERAGE : STANDARD,220,1.61,2.99,657.8,46.14,303.51
198,COLFAX   LLC,BIC LIGHTER  50+3 PK,COUNTER DISPLAY,218,0.96,2.59,564.62,62.94,355.38
199,Golden LLC,NEWPORT BOX,CIGARETTES,218,10.8,12.4,2687.03,12.94,349.67
200,CEDAR   LLC,RED BULL COCONUT BERRY 12 OZ,BEVERAGE : STANDARD,217,2.19,3.99,865.83,45.23,391.6
201,BOULDER   LLC,AMERICAN SPIRIT 85 BOX BL,CIGARETTES,216,10.85,12.61,2733.65,13.96,380.16
202,CEDAR   LLC,$ 5 decade,LOTTERY,215,0.08,5.0,1075.0,98.33,1057.09
203,LITTLETON   LLC,MONSTER ENERGY DRINK 16 OZ,BEVERAGE : STANDARD,215,1.74,3.59,771.85,51.53,397.75
204,Zuni   LLC,NEWPORT BOX,CIGARETTES,215,10.8,12.4,2672.74,12.94,344.86
205,BOULDER   LLC,SUGAR BEVERAGE FEE 14 OZ,SUGAR FEE  (OPERATIONAL ONLY),214,0.28,0.28,59.92,0.0,0.0
206,BOULDER   LLC,BIC LIGHTER 50 CT,COUNTER DISPLAY,213,0.98,2.59,551.67,62.16,342.93
207,BOULDER   LLC,ZYN COOL MINT 6MG,POUCH,212,6.49,8.99,1905.88,31.03,530.85
208,CEDAR   LLC,COPENHAGEN LONG CUT NATUR,CHEW,211,8.46,9.79,2065.69,13.54,279.79
209,HAWK   LLC,RED BULL 8.4 OZ,BEVERAGE : STANDARD,211,1.53,3.39,715.29,54.83,392.21
210,Golden LLC,ON NICOTINE POUCHES 4MG M,POUCH,211,5.3,6.79,1435.87,21.97,314.81
211,CEDAR   LLC,LUCKY STRIKE RED KING FIL,CIGARETTES,210,8.3,7.79,1629.52,-6.53,-106.89
212,HAWK   LLC,ICE BAG SMALL 7 LB,EXTERIOR : ICE,210,1.96,3.99,837.9,50.88,426.3
213,COLFAX   LLC,SMOKE SHOP $2.99,SMOKE SHOP,209,0.1,2.99,624.42,96.76,604.66
214,Golden LLC,ZYN CINNAMON 6MG,POUCH,209,6.65,8.99,1877.77,26.03,489.06
215,Golden LLC,RED BULL YELLOW 12 OZ,BEVERAGE : STANDARD,206,2.05,3.99,821.94,48.62,399.64
216,CEDAR   LLC,AQUAFINA WATER 20 OZ,BEVERAGE : STANDARD,204,1.15,2.29,467.16,49.78,232.56
217,WHEAT   LLC,MONSTER ENERGY DRINK 16 OZ,BEVERAGE : STANDARD,204,1.74,3.59,732.36,51.53,377.4
218,CEDAR   LLC,GLACEAU SMART WATER 700 ML,BEVERAGE : STANDARD,203,1.45,2.99,612.95,51.55,312.88
219,HAWK   LLC,PEPSI 20 OZ,BEVERAGE : STANDARD,203,1.61,3.09,627.27,47.88,300.36
220,LITTLETON   LLC,COCA COLA CLASSIC STOCK AND GRIP 20 OZ,BEVERAGE : STANDARD,203,1.58,2.99,606.97,47.05,285.56
